ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
165.124.130.jhd,2017-06-30,00:00:00,0.0,882835.0,0001209191-06-014527,.txt,200.0,9455.0,0.0,0.0,0.0,10.0,0.0,
165.124.130.jhd,2017-06-30,00:00:00,0.0,889409.0,0000889409-00-000002,.txt,200.0,80295.0,0.0,0.0,0.0,10.0,0.0,
165.124.130.jhd,2017-06-30,00:00:00,0.0,1016395.0,0000950147-03-000465,.txt,200.0,18001.0,0.0,0.0,0.0,10.0,0.0,
165.124.130.jhd,2017-06-30,00:00:00,0.0,882835.0,0001209191-06-014532,.txt,200.0,6361.0,0.0,0.0,0.0,10.0,0.0,
165.124.130.jhd,2017-06-30,00:00:00,0.0,889409.0,0000354204-00-000465,.txt,200.0,7929.0,0.0,0.0,0.0,10.0,0.0,
165.124.130.jhd,2017-06-30,00:00:00,0.0,1016395.0,9999999997-03-018159,.txt,200.0,2310.0,0.0,0.0,0.0,10.0,0.0,
165.124.130.jhd,2017-06-30,00:00:00,0.0,804979.0,0000804979-00-000002,.txt,200.0,54998.0,0.0,0.0,0.0,10.0,0.0,
165.124.130.jhd,2017-06-30,00:00:00,0.0,1009866.0,0000949308-00-000020,.txt,200.0,8607.0,0.0,0.0,0.0,10.0,0.0,
165.124.130.jhd,2017-06-30,00:00:00,0.0,882835.0,0001209191-06-014538,.txt,200.0,28282.0,0.0,0.0,0.0,10.0,0.0,
18.85.22.afh,2017-06-30,00:00:00,0.0,1267813.0,0001047469-14-006599,-index.htm,200.0,2854.0,1.0,0.0,0.0,10.0,0.0,
185.25.32.fdh,2017-06-30,00:00:00,0.0,1105184.0,0001209191-12-033035,xslF345X03/c29042_4x0.xml,301.0,685.0,0.0,0.0,0.0,10.0,0.0,
185.25.32.fgi,2017-06-30,00:00:00,0.0,879407.0,0001181431-14-006089,xslF345X01/rrd402026.xml,200.0,17644.0,0.0,0.0,0.0,10.0,0.0,
188.163.72.idh,2017-06-30,00:00:00,0.0,1028394.0,0000926274-05-000126,-index.htm,200.0,2736.0,1.0,0.0,0.0,1.0,0.0,
188.163.72.idh,2017-06-30,00:00:00,0.0,1028394.0,0000926274-05-000131,-index.htm,200.0,2847.0,1.0,0.0,0.0,1.0,0.0,
188.163.72.idh,2017-06-30,00:00:00,0.0,1028394.0,0000926274-04-000152,-index.htm,200.0,2793.0,1.0,0.0,0.0,1.0,0.0,
188.163.72.idh,2017-06-30,00:00:00,0.0,1028426.0,0001000096-97-000418,.txt,200.0,44042.0,0.0,0.0,0.0,9.0,0.0,
198.199.84.bfb,2017-06-30,00:00:00,0.0,1116463.0,0001209784-17-000052,edgar.xml,301.0,649.0,0.0,0.0,0.0,10.0,0.0,
198.199.84.bfb,2017-06-30,00:00:00,0.0,1295391.0,0001209784-17-000052,-index.htm,301.0,678.0,1.0,0.0,0.0,10.0,0.0,
198.199.84.bfb,2017-06-30,00:00:00,0.0,1295391.0,0001209784-17-000052,-index.htm,200.0,7522.0,1.0,0.0,0.0,10.0,0.0,
207.241.231.iah,2017-06-30,00:00:00,0.0,1025707.0,0001144204-08-047255,.txt,301.0,644.0,0.0,0.0,0.0,10.0,0.0,
209.249.4.gjc,2017-06-30,00:00:00,0.0,1073349.0,0001193125-13-351488,.txt,200.0,1539080.0,0.0,0.0,0.0,10.0,0.0,
216.244.66.bbi,2017-06-30,00:00:00,0.0,91388.0,0000091388-15-000053,sfd-20150927_pre.xml,301.0,668.0,0.0,0.0,0.0,10.0,0.0,
216.244.66.bbi,2017-06-30,00:00:00,0.0,1210245.0,0001209191-16-154403,xslF345X03/doc4.xml,301.0,674.0,0.0,0.0,0.0,10.0,0.0,
216.244.66.bbi,2017-06-30,00:00:00,0.0,1355128.0,0001193125-13-399962,ocz-20130831_lab.xml,301.0,677.0,0.0,0.0,0.0,10.0,0.0,
216.244.66.bbi,2017-06-30,00:00:00,0.0,1130713.0,0001179110-15-007583,xslF345X03/edgar.xml,200.0,16454.0,0.0,0.0,0.0,10.0,0.0,
216.244.66.bbi,2017-06-30,00:00:00,0.0,836690.0,0001104659-16-097359,a16-2007_1ex31d2.htm,301.0,675.0,0.0,0.0,0.0,10.0,0.0,
216.244.66.bbi,2017-06-30,00:00:00,0.0,836690.0,0001104659-16-097359,a16-2007_110q.htm,301.0,669.0,0.0,0.0,0.0,10.0,0.0,
216.244.66.ddh,2017-06-30,00:00:00,0.0,39368.0,0001225208-17-002410,xslF345X03/doc4.xml,200.0,29751.0,0.0,0.0,0.0,10.0,0.0,
216.244.66.ddh,2017-06-30,00:00:00,0.0,868780.0,0001209191-16-128449,xslF345X01/doc4.xml,200.0,16846.0,0.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000437,-index.htm,200.0,2905.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000040545-17-000033,-index.htm,200.0,2738.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000040545-17-000035,-index.htm,200.0,2874.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000449,-index.htm,200.0,2868.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000450,-index.htm,200.0,2867.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000451,-index.htm,200.0,2911.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0001231205-17-000059,-index.htm,200.0,2832.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000488,-index.htm,200.0,2927.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000489,-index.htm,200.0,2929.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000492,-index.htm,200.0,2957.0,1.0,0.0,0.0,10.0,0.0,
34.226.172.ebg,2017-06-30,00:00:00,0.0,40545.0,0000947871-17-000493,-index.htm,200.0,2952.0,1.0,0.0,0.0,10.0,0.0,
35.161.75.beg,2017-06-30,00:00:00,0.0,875159.0,0001571049-17-006349,t1702029_8k.htm,200.0,31636.0,0.0,0.0,0.0,10.0,0.0,
35.161.75.beg,2017-06-30,00:00:00,0.0,875159.0,0001571049-17-006349,t1702029_ex4-1.htm,200.0,260317.0,0.0,0.0,0.0,10.0,0.0,
35.167.212.fha,2017-06-30,00:00:00,0.0,1388496.0,0001140361-07-015506,-index.htm,200.0,2823.0,1.0,0.0,0.0,10.0,0.0,
35.167.212.fha,2017-06-30,00:00:00,0.0,1412455.0,9999999997-07-042261,-index.htm,200.0,2686.0,1.0,0.0,0.0,10.0,0.0,
38.105.116.iei,2017-06-30,00:00:00,0.0,814008.0,0000943763-97-000038,.txt,301.0,642.0,0.0,0.0,0.0,10.0,0.0,
38.105.116.iei,2017-06-30,00:00:00,0.0,910659.0,0000930661-97-001022,.txt,301.0,642.0,0.0,0.0,0.0,10.0,0.0,
38.105.116.iei,2017-06-30,00:00:00,0.0,910659.0,0000930661-97-001022,.txt,0.0,97625.0,0.0,0.0,0.0,10.0,0.0,
38.105.116.iei,2017-06-30,00:00:00,0.0,910659.0,0000930661-97-001326,.txt,200.0,45805.0,0.0,0.0,0.0,10.0,0.0,
38.105.116.iei,2017-06-30,00:00:00,0.0,814008.0,0000943763-97-000038,.txt,200.0,66697.0,0.0,0.0,0.0,10.0,0.0,
38.105.116.iei,2017-06-30,00:00:00,0.0,814008.0,0000943763-97-000032,.txt,200.0,29175.0,0.0,0.0,0.0,10.0,0.0,
38.105.116.iei,2017-06-30,00:00:00,0.0,910659.0,0000930661-97-001326,.txt,301.0,642.0,0.0,0.0,0.0,10.0,0.0,
38.140.198.dgd,2017-06-30,00:00:00,0.0,1112920.0,0001185185-17-001473,-index.htm,200.0,7406.0,1.0,0.0,0.0,10.0,0.0,
38.140.198.dgd,2017-06-30,00:00:00,0.0,1517022.0,0001193125-17-218379,d404244d8k.htm,301.0,664.0,0.0,0.0,0.0,10.0,0.0,
38.140.198.dgd,2017-06-30,00:00:00,0.0,1517022.0,0001193125-17-218379,d404244d8k.htm,200.0,19882.0,0.0,0.0,0.0,10.0,0.0,
38.140.198.dgd,2017-06-30,00:00:00,0.0,1112920.0,0001185185-17-001473,-index.htm,301.0,682.0,1.0,0.0,0.0,10.0,0.0,
45.32.128.fbb,2017-06-30,00:00:00,0.0,1627793.0,0001627793-14-000001,primary_doc.xml,301.0,657.0,0.0,0.0,0.0,10.0,0.0,
45.32.128.fbb,2017-06-30,00:00:00,0.0,1627793.0,0001627793-14-000001,-index.htm,200.0,6567.0,1.0,0.0,0.0,10.0,0.0,
45.32.128.fbb,2017-06-30,00:00:00,0.0,1627793.0,0001627793-14-000001,.hdr.sgml,200.0,1392.0,0.0,0.0,0.0,10.0,0.0,
5.9.94.eaj,2017-06-30,00:00:00,0.0,1002225.0,0001104659-15-046802,a15-14544_18k.htm,200.0,19590.0,0.0,0.0,0.0,10.0,0.0,
50.87.249.ede,2017-06-30,00:00:00,0.0,1094139.0,0001144204-12-058439,-index.htm,301.0,678.0,1.0,0.0,0.0,10.0,0.0,
52.90.157.idh,2017-06-30,00:00:00,0.0,1517022.0,9999999997-17-007323,.txt,200.0,8010.0,0.0,0.0,0.0,10.0,0.0,
54.158.86.dci,2017-06-30,00:00:00,0.0,1344980.0,0001179110-17-007580,-index.htm,200.0,7495.0,1.0,0.0,0.0,10.0,0.0,
54.162.220.aah,2017-06-30,00:00:00,0.0,1487920.0,0001214659-14-001368,usfc-20131231_lab.xml,200.0,746744.0,0.0,0.0,0.0,10.0,0.0,
54.162.220.aah,2017-06-30,00:00:00,0.0,924642.0,0000950138-99-000162,.txt,200.0,203346.0,0.0,0.0,0.0,10.0,0.0,
54.162.220.aah,2017-06-30,00:00:00,0.0,1487920.0,0001214659-14-001368,usfc-20131231_def.xml,200.0,239331.0,0.0,0.0,0.0,10.0,0.0,
54.162.220.aah,2017-06-30,00:00:00,0.0,1487920.0,0001214659-14-001368,usfc-20131231_cal.xml,200.0,67779.0,0.0,0.0,0.0,10.0,0.0,
54.162.220.aah,2017-06-30,00:00:00,0.0,924642.0,0000950138-99-000162,-index.html,200.0,2746.0,1.0,0.0,0.0,10.0,0.0,
54.173.181.ghf,2017-06-30,00:00:00,0.0,1072379.0,0001144204-17-034437,-index.htm,200.0,2872.0,1.0,0.0,0.0,10.0,0.0,
54.173.181.ghf,2017-06-30,00:00:00,0.0,278130.0,0001157523-17-001886,-index.htm,200.0,2908.0,1.0,0.0,0.0,10.0,0.0,
54.173.181.ghf,2017-06-30,00:00:00,0.0,1021860.0,0001193125-17-215536,-index.htm,200.0,2853.0,1.0,0.0,0.0,10.0,0.0,
54.175.208.fdh,2017-06-30,00:00:00,0.0,1039684.0,0001039684-17-000081,-index.htm,200.0,2718.0,1.0,0.0,0.0,10.0,0.0,
54.175.208.fdh,2017-06-30,00:00:00,0.0,1014739.0,0001144204-17-034758,-index.htm,200.0,3156.0,1.0,0.0,0.0,10.0,0.0,
54.175.208.fdh,2017-06-30,00:00:00,0.0,1679049.0,0001679049-17-000013,-index.htm,200.0,2770.0,1.0,0.0,0.0,10.0,0.0,
54.175.208.fdh,2017-06-30,00:00:00,0.0,724571.0,0001157523-17-001892,-index.htm,200.0,2793.0,1.0,0.0,0.0,10.0,0.0,
54.175.208.fdh,2017-06-30,00:00:00,0.0,1562039.0,0001562039-17-000022,-index.htm,200.0,3125.0,1.0,0.0,0.0,10.0,0.0,
54.212.94.jcd,2017-06-30,00:00:00,0.0,1503584.0,0000000000-13-003580,-index.htm,301.0,288.0,1.0,0.0,1.0,10.0,0.0,
54.212.94.jcd,2017-06-30,00:00:00,0.0,1503584.0,0001317861-13-000008,-index.htm,301.0,288.0,1.0,0.0,1.0,10.0,0.0,
54.212.94.jcd,2017-06-30,00:00:00,0.0,1503584.0,0000000000-13-003580,-index.htm,200.0,6083.0,1.0,0.0,0.0,10.0,0.0,
54.212.94.jcd,2017-06-30,00:00:00,0.0,1503584.0,0000000000-13-003580,-index.htm,301.0,677.0,1.0,0.0,0.0,10.0,0.0,
54.212.94.jcd,2017-06-30,00:00:00,0.0,1503584.0,0001317861-13-000008,-index.htm,200.0,6849.0,1.0,0.0,0.0,10.0,0.0,
54.212.94.jcd,2017-06-30,00:00:00,0.0,1503584.0,0001317861-13-000008,-index.htm,301.0,681.0,1.0,0.0,0.0,10.0,0.0,
54.67.64.eij,2017-06-30,00:00:00,0.0,1677100.0,0001677100-17-000001,primary_doc.xml,301.0,661.0,0.0,0.0,0.0,10.0,0.0,
54.67.64.eij,2017-06-30,00:00:00,0.0,1677100.0,0001677100-17-000001,primary_doc.xml,200.0,2505.0,0.0,0.0,0.0,10.0,0.0,
62.65.39.jcf,2017-06-30,00:00:00,0.0,1470766.0,0000950123-16-022486,-index.htm,200.0,2745.0,1.0,0.0,0.0,10.0,0.0,
62.65.39.jcf,2017-06-30,00:00:00,0.0,1470766.0,0000950123-16-022486,-index.htm,301.0,683.0,1.0,0.0,0.0,10.0,0.0,
66.249.66.aag,2017-06-30,00:00:00,0.0,778206.0,0001398344-11-002051,fp0003424_npx.txt,304.0,249.0,0.0,0.0,0.0,10.0,0.0,
66.249.66.chj,2017-06-30,00:00:00,0.0,1688667.0,0001493152-16-014777,-index.htm,200.0,4464.0,1.0,0.0,0.0,10.0,0.0,
66.249.66.jjh,2017-06-30,00:00:00,0.0,315066.0,0000315066-04-001959,.txt,304.0,249.0,0.0,0.0,0.0,10.0,0.0,
66.249.66.jjh,2017-06-30,00:00:00,0.0,919012.0,0000950123-09-011442,l36677aexv31w1.htm,200.0,2565.0,0.0,0.0,0.0,10.0,0.0,
68.180.230.ede,2017-06-30,00:00:00,0.0,1109546.0,0000902664-15-004514,xslF345X03/p15-2330form4.xml,200.0,4572.0,0.0,0.0,0.0,10.0,0.0,
68.180.230.ede,2017-06-30,00:00:00,0.0,913165.0,0001181431-11-034345,xslF345X03/rrd314075.xml,200.0,3755.0,0.0,0.0,0.0,10.0,0.0,
68.180.230.ede,2017-06-30,00:00:00,0.0,1339605.0,0001564590-16-023824,-index.htm,200.0,2844.0,1.0,0.0,0.0,10.0,0.0,
69.191.249.caa,2017-06-30,00:00:00,0.0,1653653.0,0000899243-17-017577,-index.htm,200.0,7948.0,1.0,0.0,0.0,10.0,0.0,
69.191.249.eff,2017-06-30,00:00:00,0.0,1012477.0,0001140361-17-026709,-index.htm,200.0,7999.0,1.0,0.0,0.0,10.0,0.0,
69.191.249.fhc,2017-06-30,00:00:00,0.0,1708624.0,0000899243-17-017577,-index.htm,200.0,7948.0,1.0,0.0,0.0,10.0,0.0,
69.191.249.ijh,2017-06-30,00:00:00,0.0,1295432.0,0001140361-17-026709,-index.htm,200.0,7999.0,1.0,0.0,0.0,10.0,0.0,
71.204.145.cih,2017-06-30,00:00:00,0.0,816284.0,0001445305-14-000438,.txt,200.0,2536847.0,0.0,0.0,0.0,10.0,0.0,
73.222.244.jad,2017-06-30,00:00:00,0.0,1053532.0,0000892626-02-000333,.txt,200.0,6942.0,0.0,0.0,0.0,10.0,0.0,
73.222.244.jad,2017-06-30,00:00:00,0.0,1053532.0,0000892626-02-000329,.txt,200.0,9741.0,0.0,0.0,0.0,10.0,0.0,
73.24.98.jii,2017-06-30,00:00:00,0.0,744452.0,0001571049-17-006376,.txt,200.0,2297.0,0.0,0.0,0.0,10.0,0.0,
73.24.98.jii,2017-06-30,00:00:00,0.0,744452.0,0001571049-17-006376,-index.htm,200.0,2823.0,1.0,0.0,0.0,10.0,0.0,
73.24.98.jii,2017-06-30,00:00:00,0.0,1357785.0,0001571049-17-006376,.txt,200.0,2297.0,0.0,0.0,0.0,10.0,0.0,
73.255.119.eca,2017-06-30,00:00:00,0.0,885590.0,0001193125-13-252392,.txt,200.0,2336180.0,0.0,0.0,0.0,10.0,0.0,
75.105.72.fib,2017-06-30,00:00:00,0.0,724571.0,0001140361-17-026642,-index.htm,200.0,7455.0,1.0,0.0,0.0,10.0,0.0,
94.156.218.jad,2017-06-30,00:00:00,0.0,733269.0,0000733269-17-000047,-index.htm,200.0,14516.0,1.0,0.0,0.0,10.0,0.0,
94.156.218.jad,2017-06-30,00:00:00,0.0,1300699.0,0000905148-17-000630,-index.htm,200.0,7172.0,1.0,0.0,0.0,10.0,0.0,
94.156.218.jad,2017-06-30,00:00:00,0.0,1615930.0,0001493152-17-007356,.txt,200.0,9690.0,0.0,0.0,0.0,10.0,0.0,
95.111.49.aed,2017-06-30,00:00:00,0.0,1710656.0,0001705306-17-000002,-index.htm,200.0,8038.0,1.0,0.0,0.0,10.0,0.0,
95.111.49.aed,2017-06-30,00:00:00,0.0,1198927.0,0000937556-17-000157,.txt,200.0,14827.0,0.0,0.0,0.0,10.0,0.0,
95.111.49.aed,2017-06-30,00:00:00,0.0,1527599.0,0001493152-17-007337,-index.htm,200.0,7486.0,1.0,0.0,0.0,10.0,0.0,